ID_MEMBRO	RELEVANTE	AUTORES	TITULO	ANO	NATUREZA	ITEM	INSTITUICAO_PROMOTORA
{5}		FONSECA-ZANG, W. A.; CAMPOS, L. C.; ZANG, J. W.; SCHMIDT, F.	Workshop de doutores do Reino Unido e do Brasil com o tema: Água, Saneamento e Energia Conexa?	2016	ORGANIZACAO		Instituto Federal de Goiás (IFG), University College London (UCL), FAPEG,  Newton Fund e Conselho do Reino Unido	
{6}		ZANG, J. W.; DA FONSECA-ZANG, W. A.	6o Encontro Brasileiro-Alemão para Produção Sustentável no Cerrado	2016	ORGANIZACAO		Instituto Federal de Educação, Ciência e Tecnologia de Goiás	
{13}		CALIXTO, W. P.; GOMES, V. M.; SILVA, L. F. A.; RODRIGUES, M. M.; PARANHOS, T. C.; BARBOSA, R. S.; SILVA, M. C.	Workshop de Ciência, Tecnologia e Inovação (WCite)	2015	ORGANIZACAO		Instituto Federal de Goiás	
{8}		OLIVEIRA, L.; SOUZA, F. C.; SILVA, C. J.	2 Semana de Física do IFG	2015	ORGANIZACAO		Instituto Federal de Educação, Ciência e Tecnologia de Goiás - IFG	
{11}		OLIVEIRA, S. B.; BARBOSA, D. P.; DA SILVA, V. J.	55 Congresso Brasileiro de Química - Processos Renováveis: Inovação e tecnologia	2015	ORGANIZACAO		Associação Brasileira de Química	
{13}		CALIXTO, W. P.; VIAJANTE, G. P.; MIRANDA, M. C. C.; GOMES, V. M.; TSU, M. A. A. O.	8º Seminário de Iniciação Científica e Tecnológica (8º SICT)	2014	ORGANIZACAO		Instituto Federal de Goiás (IFG)	
{12, 6}		LEANDRO, W. M.; ZANG, J. W.; FONSECA-ZANG, W. A.; DE-CAMPOS, A.	Agroenviron 2014	2014	ORGANIZACAO		UFG	
{6}		ZANG, J. W.; FONSECA-ZANG, W.; OLIVEIRA, S. B.	5º Encontro Brasileiro Alemão para Produção Sustentável no Cerrado	2013	ORGANIZACAO		Instituto Federal de Educação, Ciência e Tecnologia de Goiás	
{12}		FONSECA-ZANG, W. A.; ZANG, J. W.	4° Encontro Brasileiro Alemão para Producao Sustentável no Cerrado 2012	2012	ORGANIZACAO		IFG	
{6}		ZANG, J. W.; FONSECA-ZANG, W.; REIS, A.; SOUSA, G. A.; BARCELOS, H.; DE OLIVEIRA, S. B.	4º Encontro Brasileiro Alemão para Produção Sustentável no Cerrado	2012	ORGANIZACAO		Instituto Federal de Educação, Ciência e Tecnologia de Goiás	
