ID_MEMBRO	RELEVANTE	DOI	AUTORES	TITULO	NOME EVENTO	ANO	VOLUME	PAGINAS	ITEM
{19}			RATTIA, V. H. F.; ROCHA, H. C.; DANTAS, A. A. N.; MENDES, T. A.; ASSIS, A.	Practical approach for the control of surface settlements due to TBM tunnelling during excavation by following up of monitoring	ITA-AITES World Tunnel Congress 2024	2024		-		
{19}			DANTAS, A. A. N.; MENDES, T. A.	EVALUATION OF THE MECHANICAL BEHAVIOR OF AN IRON ORE WASTE INCORPORATED A LATERITIC SOIL FOR ROAD PURPOSES IN NORTHEAST BRAZIL	9th International Congress on Environmental Geotechnics	2023		-		
{19}			DANTAS, A. A. N.; MENDES, T. A.; FRAGA, Y. S. B.; MARTINS, G. L. O.	SOIL ANALYSIS TROUGH IN-SITU CPT AND CPTu TESTS: CASE STUDY IN THE BRASILIA SUBWAY - BRAZIL	18 CNG - Congresso Nacional de Geotecnia	2023	1	207-214		
{19}			DANTAS, A. A. N.; SOUZA, W.; MENDES, T. A.	Use of Vegetative Coverage for Slope Stability in the Brazilian Midwest: Case Study	18 CNG - Congresso Nacional de Geotecnia	2023	1	1167-1174		
{17, 12}		10.56238/homeinternationalanais-042	DE OLIVEIRA, D. P.; ZANG, W. A. F.; ZANG, J. W.; DA FONSECA, R. C. B.	Recovery of Recyclables from Medical Waste: Innovative Holistic Methodology	II INTERNATIONAL SEVEN MULTIDISCIPLINARY CONGRESS	2023	1	-13		
{16}			FERREIRA, V. B.; GOMES, R. A.; CALIXTO, W. P.	Modelagem de uma solução para planejamento de espaços inteligentes visando eficiência energética na Indústria 4.0	XXVI ENMC ? Encontro Nacional de Modelagem Computacional	2023		-		
{0}			MAGALHAES, A. S.; SILVA, F. P.; SILVA, W. A.; BULHOES, J. S.	APLICAÇÃO DA NORMA IEC 61850 EM AUTOMAÇÃO DE SUBESTAÇÕES	Congresso Internacional Movimentos Docentes	2023	4	608-617		
{21}			MONTE, T.; MORAES, A. B.; FONSECA, R. C. B.; DA FONSECA-ZANG, W. A.	'Avaliação estatística dos fatores cruciais nos parâmetros de qualidade da água no reservatório João Leite, Goiás'.	XI ERI-GO 2023	2023		-		
{19}			MORAIS, V. P. C.; JUNIOR MERABET, J. C. F.; MASCARENHA, M. M. A.; MENDES, T. A.; SALES, M. M.; LUZ, M. P.	ESTUDO DA VARIABILIDADE DE ENSAIOS LABORATORIAIS EM UM SIMULADOR DE CHUVA	4º Congresso Internacional de Hidrossedimentologia	2023		131-137		
{5}			PEREIRA, A. C.; CREMON, E. H.; SILVA, R.; RUBIN, J. C. R.; NAZARENO, N. R. X.	Variáveis geomorfométricas e machine learning na predição de sítios arqueológicos em Serranópolis - Goiás - Brasil	XX Simpósio Brasileiro de Sensoriamento Remoto	2023		1592-1595		
{19}			PEREIRA, T. S. R.; CARVALHO, T. P. T. P.; SANTOS, K. A.; FORMIGA, K. T. M.; REIS, G. C.; DUARTE, L. V.; RIBEIRO, H. J.; MOURAOLIVEIRA, J.; CASTILHO, J. H.; MENDES, T. A.	MODELAGEM DE INUNDAÇÃO 1D/2D COM HEC-RAS E MDEs LIDAR ECOPERNICUS DEM	XXV Simpósio Brasileiro de Recursos Hídricos e do 1º Fórum Latino-Americano da Água	2023		-		
{19}			PEREIRA, T. S. R.; SANTOS, K. A.; REIS, G. C.; RIBEIRO, H. J.; CARVALHO, T. P. T. P.; MENDES, T.; DUARTE, L. V.; OLIVEIRA, J. M.; CASTILHO, J. H. M.; FORMIGA, K. T. M.	MODELAGEM DE INUNDAÇÃO 1D/2D COM HEC-RAS E MDEs LIDAR E COPERNICUS DEM	XXV Simpósio Brasileiro de Recursos Hídricos (XXV SBRH)	2023		-		
{19}			SANTOS, K. A.; CORTES, J. B. R.; MENDES, T. A.; JUNIOR GITIRANA, G. F. N.; FORMIGA, K. T. M.	Using Terrestrial Laser Scanner To Validate The Performance Of Low-Cost UAV On A Monitoring Sedimentological Change In An Urban Channel	15° International Symposium on River Sedimentation	2023		-		
{19}			SANTOS, R. C. M.; SILVA, M. E. W. C.; LUZ, M. P.; MENDES, T. A.; JUNIOR MERABET, J. C. F.	ESTUDO DA ERODIBILIDADE DE SOLOS COM COBERTURA DE GEOSSINTÉTICOS EM LABORATÓRIO	II Jornada Científica da Escola Politécnica e de Artes da PUC Goiás	2023		-		
{5}			SILVA, A. G. P.; CREMON, E. H.; RABELO, M. W. O.; MACEDO, M. A.; SOBRINHO, J. V. S.; CAMPOS, G. M. B.	Identificação de cultura agrícola do tomate baseado em imagens MSI/Sentinel-2	XX Simpósio Brasileiro de Sensoriamento Remoto	2023		2717-2720		
{3}			TORRES, J. A.; CABRAL, D. C.; SILVEIRA, C. R.	Monitoramento de longa distância aplicado à agricultura de precisão utilizando ESP32 Lora.	XXI Conferência de Engenharia Elétrica	2023		1-5		
{21}		10.56238/sevenIImulti2022	OLIVEIRA, D. P.; DA FONSECA-ZANG, W. A.; ZANG, J. W.; FONSECA, R. C. B.	Recuperação de Recicláveis dos Resíduos Hospitalares: Metodologia Inovadora holística	II seven international multidisciplinary congress	2022		-		
{21}			SA, A. C.; DA FONSECA-ZANG, W. A.; ZANG, J. W.	GESTÃO DE RESÍDUOS DE SERVIÇO DA SAÚDE EM HOSPITAL PÚBLICO: INICIATIVAS DE EDUCAÇÃO AMBIENTAL E DE REDUÇÃO DE CUSTO	II Seven International  MULTIDISCIPLINARY Congress ISBN 978-6584976-17-7	2022		-		
{14}		10.17648/cbqee-2021-130510	FURTADO, B. C.; MARTINS, A. M.; DOMINGOS, J. L.; ALVES, A. J.	Análise da qualidade de energia elétrica no IFG - Campus Goiânia, a partir de retrofit de iluminação	ANAIS DA XIV CONFERêNCIA BRASILEIRA SOBRE QUALIDADE DA ENERGIA ELéTRICA	2021		-		
{4}			STACH, A. H. M.; NETO D; VIDAL, M. A.; SOUTO, O. C. N.; SILVA, S.; DOMINGUES, E. G.	Synthetic Series of Electricity Generation through a Photovoltaic System by using Different Panel Temperature Models	19th International Conference on Renewable Energies and Power Quality (ICREPQ?21)	2021	19	39-44		
{4}			VIDAL, M.; FARIA, A. F.; STACH, A. H. M.; NETO D; PINTO, L. S.; PINHO, A.; DOMINGUES, E. G.	Quantification of CO2 emission reductions from energy efficiency actions and solar photovoltaic generation at the Federal Institute of Education, Science, and Technology of Goiás.	19th International Conference on Renewable Energies and Power Quality (ICREPQ?21)	2021	19	45-50		
{4}			FARIA, V. R.; MAGALHAES, M. L.; NETO D; DOMINGUES, E. G.	Economic viability of business models for photovoltaic solar generation in Brazil: studies of cases	International Conference on Renewable Energies and Power Quality (ICREPQ'20)	2020	18	292-297		
{7}			KURAMOTO, L. L.; BORGES, E. C. L.; SILVA, M. A. L. A.; SA, F. P.	O Reaproveitamento de Resíduos Sólidos Orgânicos para Geração de Energia Térmica a partir da Biodigestão Aeróbia	ENSUS VIII - ENCONTRO DE SUSTENTABILIDADE EM PROJETO - EVA	2020	8	185-196		
{21}			LEANDRO, W. M.; DA FONSECA-ZANG, W. A.; ZANG, J. W.; CAMPOS, L. C.	Energy Cane Silage for Continuous Biogas Generation	waset - world academy of science engineering and technology	2020	1	-		
{2, 14}			MENDES, B. E. S.; DOMINGOS, J. L.; ALVES, A. J.	ESTUDOS DA MELHORIA DA EFICIÊNCIA ENERGÉTICA DE UM SISTEMA DE GERAÇÃO FOTOVOLTAICA POR MEIO DE ARREFECIMENTO DE PAINÉIS SOLARES COM ÁGUA DE REUSO	XVIII Conferência de Estudos em Engenharia Elétrica - XVIII CEEL	2020		1-6		
{16}		10.5753/encompif.2016.9385	MOTA, R. S.; DA SILVA, P. D. S.; DE SOUZA, C. S.; GOMES, R. A.	Um Framework para Descoberta de Recursos usando Computação nas Nuvens	III Encontro Nacional de Computação dos Institutos Federais	2020		45-		
{16}			RIBEIRO, F. D.; ALMEIDA, F. S.; GOMES, R.	An Approach for Modeling Energy Consumption and Potential in Scenarios with Distributed Generation	XXIII Encontro Nacional de Modelagem Computacional e XI Encontro de Ciência e Tecnologias de Materiais	2020		1417-1426		
{22}		10.1109/IDAP.2019.8875900	BRANDAO, J. G.; CALIXTO, W. P.	N-Gram and TF-IDF for Feature Extraction on Opinion Mining of Tweets with SVM Classifier	2019 International Artificial Intelligence and Data Processing Symposium (IDAP)	2019		1-		
{17}			CAIXETA, V.; CAMPOS, A. T.; SIQUEIRA, M. B. B.; DA FONSECA, R. C.; BRAGA, G. C. B.; ALVES, A. B. C. G.	Simulação numérica da exaustão de fumaça por meio de convecção natural em dutos de escadas de emergência	5º CILASCI ? Congresso Ibero-Latino-Americano em Segurança contra Incêndio	2019		1-10		
{7}			CALIL, M. M.; MOTA, K. M.; SA, F. P.; BORGES, E. C. L.	Processo Eletrolítico para Tratamento de Água	VIII Seminário sobre Tecnologias Limpas	2019	VIII	-		
{22}		10.1109/eeeic.2019.8783486	CARARO, J. A. G.; SILVA, A. H. F.; NETO CAETA, J.; REIS, M. R. C.; CALIXTO, W. P.	Methodology for voltage adequacy using photovoltaic distributed generation	2019 IEEE International Conference on Environment and Electrical Engineering and 2019 IEEE Industrial and Commercial Power Systems Europe (EEEIC / Iamp;CPS Europe)	2019		1-		
{7}			CARVALHAIS, A. L. A.; LOPES, W. O.; BORGES, E. C. L.; SA, F. P.	Estudo da Eficiência de Células Fotovoltaicas Orgânicas Sensibilizadas por Corantes	VIII Seminário sobre Tecnologias Limpas	2019		-		
{22}		10.1109/EEEIC.2019.8783367	FILHO SILV, A.; SILVA, J. R. S.; SILVA, C. B.; SOUZA, L. A.; CALIXTO, W.; BRITO, L.	Analysis of plant root system influence on electrical properties of the soil	2019 IEEE International Conference on Environment and Electrical Engineering and 2019 IEEE Industrial and Commercial Power Systems Europe (EEEIC / Iamp;CPS Europe)	2019		1-		
{14}			GOMES, G. C.; FARIA, A. F.; VIAJANTE, G. P.; DOMINGUES, E. G.; DOMINGOS, J. L.; SILVA, S. B.; SOUTO, O. C. N.; VELLOSO, E. F.	Energy Efficiency Project with Actions to Encourage the Rational and Sustainable Use of Electric Energy	19th International Conference on Environment and Electrical Engineering	2019		686-691		
{17}			JUNIOR AMARAL, P. R. R.; BRAGA, G. C. B.; CAMPOS, A. T.; SIQUEIRA, M. B. B.; DA FONSECA, R. C.; ALVES, A. B. C. G.	Prototipagem da exaustão de fumaça por meio de convecção natural em dutos de escada de emergência	5º CILASCI ? Congresso Ibero-Latino-Americano sobre Segurança contra Incêndio	2019		11-21		
{16, 22, 14}		10.1109/eeeic.2019.8783435	MARTINS, A. M.; MEDEIROS, C. A. G.; DOMINGOS, J. L.; REIS, M. R. C.; CALIXTO, W. P.; GOMES, R. A.	Minimization of the electricity bill of Brazilian consumers with PV system through the optimization of contracting demand and the orientation of photovoltaic panels	2019 IEEE International Conference on Environment and Electrical Engineering and 2019 IEEE Industrial and Commercial Power Systems Europe (EEEIC / Iamp;CPS Europe)	2019		1186-1191		
{14}			MEDEIROS, E.; SOUZA, P.; ALVES, A. J.; CARVALHAES, V.; OLIVEIRA, S. B.; DOMINGOS, J. L.	Enery use evalution of biogas from UASB reactors in great Goiania sewage treatment plants	19th International Conference on Environment and Electrical Engineering	2019		1115-1120		
{2}			NEVES, J. P.; PIMENTA, S. M.; PITALUGA, D. P. S.; ALVES, A. J.	ESTUDO DE VIABILIDADE ECONÔMICA DO SISTEMA WETLANDS CONSTRUÍDO COM CONCEITO MODULAR	30º Congresso Brasileiro de Engenharia Sanitária e Ambiental	2019		-		
{4, 22}		10.1109/EEEIC.2019.8783690	SILVA, C. A.; SILVA, D. F. A.; VITOR, L. R.; NETO PINHEI, D.; KAZU, L.; CALIXTO, W. P.	Modeling, simulation and optimization of people traffic in elevators	2019 IEEE International Conference on Environment and Electrical Engineering and 2019 IEEE Industrial and Commercial Power Systems Europe (EEEIC / Iamp;CPS Europe)	2019	unico	1-6		
{7}			SILVA, H. C.; SILVA, J. S.; BORGES, E. C. L.; SA, F. P.	Tratamento de Efluente Sintético Colorido, por Nanocompósitos  Magnéticos Lamelares #61543;-Fe2O3/HDL e #61543;-Fe2O3/Ca	VIII Seminário Nacional sobre Tecnologias Limpas	2019	VIII	-		
{2, 14}		10.1109/EEEIC.2019.8783681	DA SILVA, K. R.; DOMINGOS, J. L.; ALVES, A. J.	Evaluation of the Power Generation Potential for the Installation of Photovoltaic Systems on the Roofs of the Campuses of the Federal Institute of Goiás	2019 IEEE International Conference on Environment and Electrical Engineering and 2019 IEEE Industrial and Commercial Power Systems Europe (EEEIC / Iamp;CPS Europe)	2019		346-350		
{22}		10.1109/EEEIC.2019.8783593	SOUZA, L. A. P.; SILVA, C. L. B.; CALIXTO, W. P.	Optimization of directional relay adjustments using heuristic and deterministic method	2019 IEEE International Conference on Environment and Electrical Engineering and 2019 IEEE Industrial and Commercial Power Systems Europe (EEEIC / Iamp;CPS Europe)	2019		1-		
{22}		10.1109/EEEIC.2019.8783231	TSURUDA, L. K.; VITOR, L. R.; FURTADO, B. C.; FERREIRA, L. G. G. B.; MARTINS, A. M.; CALIXTO, W. P.	Autonomous water consumption meter for evaluation of sustainable technologies in popular housing	2019 IEEE International Conference on Environment and Electrical Engineering and 2019 IEEE Industrial and Commercial Power Systems Europe (EEEIC / Iamp;CPS Europe)	2019		1-		
{14}			ALVES, A. J.; DOMINGOS, J. L.; FERREIRA, L. G. G. B.	Estudo Sobre as Ações do Vento em Sistemas Fotovoltaicos Instalados em Coberturas de Edificações	I Congresso Científico e II Workshop em Fontes Renováveis de Energia	2018		-		
{2, 22}		10.1109/EEEIC.2018.8493864	BARBOSA, J. L. F.; ALVES, A. J.; BARBOSA, A. C. O. F.; FERRAZ, R. S.; CALIXTO, W. P.	Lighting Simulation and Validation for High Power LED Matrix Luminaire	2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe (EEEIC / Iamp;CPS Europe)	2018		1-		
{21}			BATISTA, R. P.; BORGES, M. E.; DA SILVA, V. B.; LEANDRO, W. M.; DA FONSECA-ZANG, W. A.	Terapia comunitária para articulação e acolhimento das mulheres da agricultura familiar em base agroecológica em Goiás	Agroecol	2018	13	1-5		
{22}		10.1109/EEEIC.2018.8494583	BULHOES, J. S.; MARTINS, C. L.; REIS, M. R. C.; OLIVEIRA, M. D.; CALHEIROS, D. F.; CALIXTO, W. P.	Predicting System for Flooded Areas Developed with MLP-Type Neural Network	2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe (EEEIC / ICPS Europe)	2018		1-		
{22}		10.1109/EEEIC.2018.8493750	BULHOES, J. S.; MARTINS, C. L.; REIS, M. R.; OLIVEIRA, M. D.; CALHEIROS, D. F.; CALIXTO, W. P.	Indirect Prediction System That Uses Other Predictions of Correlated Variables	2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe (EEEIC / ICPS Europe)	2018		1-		
{16}		10.1145/3286719.3286726	COSTA, F. M.; GEORGANTAS, N.; GOMES, R. A.; DA ROCHA, R. C. A.; BOULOUKAKIS, G.	Cross-layer QoS-Aware Resource Allocation for IoT-Enabled Service Choreographies	the 5th Workshop	2018		31-		
{5}			CREMON, E. H.; SILVA, A. M. S.; MONTANHER, O. C.	Estimativa de sedimentos suspensos por reflectância aparente dos dados TM/Landsat-5 no rio Araguaia	XII Simpósio Nacional de Geomorfologia - SINAGEO	2018		-		
{21}			DA SILVA, V. B.; SANTOS, J. G. M.; BATISTA, R. P.; LEANDRO, W. M.; DA FONSECA-ZANG, W. A.	Participação da Juventude Rural da Escola Família Agrícola de Orizona em Sistemas Agroecológicos	Agroecol	2018	13	-		
