ID-MEMBRO	RELEVANTE	AUTORES	TITULO	ANO	NATUREZA	ITEM
{19}		FRANCO, V. H.; ROCHA, H. C.; DANTAS, A. A. N.; MENDES, T. A.; ASSIS, A. P.	Practical approach for the control of surface settlements due to TBM tunnelling during excavation by following up of monitoring	2024	ITA-AITES World Tunnel Congress 2024. (Congresso)		
{18}		DE OLIVEIRA, S. B.	Processos Hidrotecnológicos Sustentáveis	2023	3º Encontro Nacional de Química Sustentável. (Conferencia)		
{1}		DOS SANTOS, A. M.; AVILA, G. S. D.; FERREIRA, P. F. M.	EDUCAÇÃO PARA O TRÂNSITO POR MEIO DA EXTENSÃO UNIVERSITÁRIA	2023	7º Fórum Goiano de Mobilidade e 7º MAET. (Outra)		
{19}		MENDES, T. A.; PEREIRA, S. A. S.; REBOLLEDO, J. F. R.; FORMIGA, K. T. M.	DEVELOPMENT OF EQUIPMENT AND SOFTWARE LOW COST FOR PROCESSES MONITORING EROSIVE IN THE FIELD	2023	Escola Interdisciplinar FAPESP 2023, Ciências Exatas e Naturais, Engenharias e Medicina. (Outra)		
{19}		MORAIS, V. P. C.; JUNIOR MERABET, J. C. F.; MASCARENHA, M. M. A.; MENDES, T. A.; SALES, M. M.; LUZ, M. P.	ESTUDO DA VARIABILIDADE DE ENSAIOS LABORATORIAIS EM UM SIMULADOR DE CHUVA	2023	4º Congresso Internacional de Hidrossedimentologia. (Congresso)		
{18}		OLIVEIRA, S. B.	Biomassa e Bioenergia - Soluções Sustentáveis com o Uso de Resíduos	2023	V Escola de Química e VI SMAT. (Conferencia)		
{18}		OLIVEIRA, S. B.; DA SILVA, C. P.; BARBOSA, D. P.; DIAS, I. M.; ALONSO, C. G.	Água supercrítica aplicada no tratamento de efluentes de indústria de edulcorantes	2023	62º Congresso Brasileiro de Química. (Congresso)		
{18}		OLIVEIRA, S.; BARBOSA, D. P.; SILVEIRA, J. R.; TERAN, F. J. C.	Remoção de surfactante aniônico em reator biológico de leito fluidizado preenchido com hidrocarvão polimérico	2023	62º Congresso Brasileiro de Química. (Congresso)		
{19}		PEREIRA, T. S. R.; CARVALHO, T. P. T. P.; SANTOS, K. A.; REIS, G. C.; DUARTE, L. V.; RIBEIRO, H. J.; MOURAOLIVEIRA, J.; CASTILHO, J. H.; FORMIGA, K. T. M.; MENDES, T. A.	MODELAGEM DE INUNDAÇÃO 1D/2D COM HEC-RAS E MDEs LIDAR E COPERNICUS DEM	2023	XXV Simpósio Brasileiro de Recursos Hídricos e do 1º Fórum Latino-Americano da Água. (Simposio)		
{19}		RATTIA, V. H. F.; ROCHA, H. C.; MENDES, T. A.; DANTAS, A. A. N.	Tunnels in tropical soils ? A sensibility analysis of soil parameters applied on the construction of Line 5 of the São Paulo Metro	2023	18th World Conference of the Associated Research Centers for the Urban Underground Space - ACUUS 2023 Conference (Singapore). (Conferencia)		
{1}		SANTOS, A. M. D.	Geotecnologias Aplicadas as Análises em Engenharia	2023	Geotecnologias Aplicadas as Análises em Engenharia. (Conferencia)		
{19}		SANTOS, K. A.; CORTES, J. B. R.; MENDES, T. A.; GITIRANA, G. F. N.; FORMIGA, K. T. M.	Using Terrestrial Laser Scanner To Validate The Performance Of Low-Cost UAV On A Monitoring Sedimentological Change In An Urban Channel	2023	15° International Symposium on River Sedimentation. (Simposio)		
{19}		SANTOS, R. C. M.; SILVA, M. E. W. C.; LUZ, M. P.; MENDES, T. A.; JUNIOR MERABET, J. C. F.	ESTUDO DA ERODIBILIDADE DE SOLOS COM COBERTURA DE GEOSSINTÉTICOS EM LABORATÓRIO	2023	II Jornada Científica da Escola Politécnica e de Artes da PUC Goiás. (Outra)		
{8}		SCHIMIDT, F.	Minicurso 'Modelos de regressão e classificação em Python utilizando a biblioteca PyCaret'	2023	6a. Escola de Inverno de Quimiometria. (Congresso)		
{18}		AHMADI, S.; YAAH, V. B. K.; OJALA, S.; OLIVEIRA, S.	Photocatalytic removal of amoxicillin using BiOBrand Bi3O4Br catalysts	2022	14 Encontro Brasileiro de Adsorção. (Congresso)		
{18}		ALMEIDA, M. G.; ALVES, A. J.; OLIVEIRA, S.	ESTUDOS TÉCNICOS E ECONÔMICOS EM SISTEMA HÍBRIDO DE GERAÇÃO DE ENERGIA SOLAR FOTOVOLTAICA E AQUECIMENTO DE ÁGUA	2022	15º Seminário de Iniciação Científica e Tecnológica (15º SICT/IFG/2022). (Seminario)		
{18}		ALVES, A. C. F.; OLIVEIRA, S.; SCALIZE, P. S.	Synthesis and characterization of polymeric hydrochar and polymeric activated carbonapplied to the adsorption of the bisphenol-A emerging contaminant.	2022	14 Encontro Brasileiro de Adsorção. (Congresso)		
{18}		OLIVEIRA, S.	BIOMASSA E BIOENERGIA	2022	Semana da Engenharia - IFG 2022. (Conferencia)		
{18}		OLIVEIRA, S.	Hidrogênio Natural	2022	Semana da Engenharia - IFG 2022. (Conferencia)		
{18}		OLIVEIRA, S. B.	Uso da técnica de carbonização hidrotermal (HTC) na preparação de adsorventes ativos	2022	14 Encontro Brasileiro de Adsorção. (Conferencia)		
{18}		OLIVEIRA, S. B.; OLIVEIRA, S. B.	Dia do Campo do Projeto Rural Sustentável - Cerrado	2022	Dia do Campo do Projeto Rural Sustentável - Cerrado. (Conferencia)		
{18}		OLIVEIRA, S.; MENEZES, S. M. C.	Físico-Química - Carbonização Hidrotermal: Preparação de Adsorventes e Catalisadores	2022	35º Congresso Latino Americano de Química / 61º Congresso Brasileiro de Química. (Congresso)		
{15}		OLIVEIRA, L.; NASCIMENTO, E. O.; ANTONIO, P. L.; CALDAS, L. V. E.	ETHYLENE-VINYL ACETATE DETECTOR EXPOSED TO GAMMA RADIATION AND EVALUATED VIA PRINCIPAL COMPONENT REGRESSION	2021	First Latin-American Congress on Solid State Dosimetry and Radiation Measurements. (Congresso)		
{15}		OLIVEIRA, L.; NASCIMENTO, E. O.; ANTONIO, P. L.; CALDAS, L. V. E.	PLASTIC BOTTLE CAPS AS RADIATION DETECTORS FOR HIGH GAMMA RADIATION DOSES	2021	First Latin-American Congress on Solid State Dosimetry and Radiation Measurements. (Congresso)		
{7}		SA, F. P.; ANDRADE, F. M. S. M.; BORGES, E. C. L.; DELMOND, K. A.	Lixo, não! ? Resíduos sólidos e tecnologias para geração de energia	2021	Campus Party Híbrida Goiás. (Conferencia)		
{18}		DE OLIVEIRA, S. B.	Produção de Biogás e Reuso de Água: Eficiência Energética	2020	17ª Semana Nacional de Ciência e Tecnologia. (Conferencia)		
{7}		FARIAS, I. V.; SA, F. P.; BORGES, E. C. L.	Determinação da Qualidade da Água Destilada e Deionizada pelo Tempo de Armazenamento	2020	13º Seminário de Iniciação Científica e Tecnológica do IFG. (Seminario)		
{18}		OLIVEIRA, S.; FARIA, G. M.; BARBOSA, D. P.; CHAGAS, R. P.; MAKI-ARVELA, P.	Synthesis and characterization of superbasic polymeric mesoporous carbon via hydrothermal carbonization applied in the epoxide cycloaddition reaction with CO2	2020	ICFUTURE2020 ?International Conference on Imaging and Characterization ?Future Technologies and Applications. (Congresso)		
{18}		OLIVEIRA, S.; YAAH, V. B. K.; OJALA, S.	Development and characterization of carbon containing photocatalysts for the removal of pharmaceuticals in water	2020	ICFUTURE2020 ?International Conference on Imaging and Characterization ?Future Technologies and Applications. (Comunicacao)		
{18}		PARADA, G. F. J.; BARBOSA, D. P.; OLIVEIRA, S.	Silver hybrid catalyzers for photocatalysis nitrate water supply	2020	ICFUTURE2020 ?International Conference on Imaging and Characterization ?Future Technologies and Applications. (Congresso)		
{7}		PONTES, T. C. A.; SA, F. P.; BORGES, E. C. L.	O Impacto da Poluição do Ar no Ambiente de Trabalho	2020	13º Seminário de Iniciação Científica e Tecnológica do IFG. (Seminario)		
{18}		RIBEIRO, T. S. S.; MOURAO, L. C.; SOUZA, G. B. M.; SOUZA, P. L. M.; FILHO CARDOZ, L.; DE OLIVEIRA, S. B.; ALONSO, C. G.	Treatment of hormone industry wastewater by supercritical water oxidation for fuel gas production	2020	ICFUTURE2020 ?International Conference on Imaging and Characterization ?Future Technologies and Applications. (Congresso)		
{18}		SALES, P. T. F.; BARA, M. T. F.; DE OLIVEIRA, S. B.; BOTTLINGER, M.; OJALA, S. A.; KEISKI, R. L.	Combined theoretical and experimental study of acyclovir degradation in hydrothermal carbonization process	2020	ICFUTURE2020 ?International Conference on Imaging and Characterization ?Future Technologies and Applications. (Congresso)		
{18}		SALES, P. T. F.; DE OLIVEIRA, S. B.; BARA, M. T. F.; BOTTLINGER, M.; OJALA, S. A.; KEISKI, R.	Understanding the degradation of sucralose in hydrothermal carbonization process	2020	ICFUTURE2020 ?International Conference on Imaging and Characterization ?Future Technologies and Applications. (Congresso)		
{7}		SOARES, E. P.; BORGES, E. C. L.; SA, F. P.	Tratamento de Efluente Sintético Composto pelos Corantes Alimentícios, Amarelo Tartrazina, Azul Indigotina e Vermelho Ponceau, por Fotodegradação Ultravioleta	2020	13º Seminário de Iniciação Científica e Tecnológica do IFG. (Seminario)		
{18}		SOUZA, K. M.; TEIXEIRA, R. P.; SALES, P. T. F.; DE OLIVEIRA, S. B.; SCHIMIDT, F.; SANTIAGO, M. F.	Detection of caffeine, and hormones in samples from Meia Ponte River	2020	ICFUTURE2020 ?International Conference on Imaging and Characterization ?Future Technologies and Applications. (Congresso)		
{7}		SOUZA, L. A.; BORGES, E. C. L.; SA, F. P.	Adsorção de Corantes Alimentícios, Vermelho 40 e Amarelo Crepúsculo em Efluente Sintético, por Hidróxidos Duplos Lamelares (HDLs)	2020	13º Seminário de Iniciação Científica e Tecnológica do IFG. (Seminario)		
