ID_MEMBRO	RELEVANTE	DOI	AUTORES	TITULO	NOME EVENTO	ANO	VOLUME	PAGINAS	ITEM
{1}			RAMOS, H. F.; SANTOS, A. M. D.; SANTOS, R. L.; NUNES, F. G.; SOUZA, C. A.; RIOS, E. O.	CARACTERIZAÇÃO DAS POTENCIALIDADES DA SERRA DAS AREIAS PARA CRIAÇÃO DE UM GEOPARQUE NO MUNICÍPIO DE APARECIDA DE GOIÂNIA - GOIÁS	XVIII Simpósio Brasileiro de Geografia Física	2019	18	1-9		
{7}			SA, F. P.; CARDOSO, P. H. S.; BORGES, E. C. L.	Adsorção de Corante Alimentício Amarelo Tartrazina por Hidrocalumita	59º Congresso Brasileiro de Química	2019	I	-		
{1}			SANTOS, A. M. D.; ALMEIDA, C. F.; NUNES, F. G.	ACESSIBILIDADE GEOGRÁFICA, TRANSPORTES E INTEGRAÇÃO DOS POLOS DE DESENVOLVIMENTO DA ÁREA DE CULTIVO COM SOJA NA AMAZÔNIA BRASILEIRA	XIX Simpósio Brasileiro de Sensoriamento Remoto	2019	29	1-5		
{1}			SANTOS, A. M. D.; SOUZA, J. F.; PORTIS, G. T.; PESSONI, H. R.	SENSORIAMENTO REMOTO, USO DO SOLO E ANÁLISES EM TRANSPORTES	XIX Simpósio Brasileiro de Sensoriamento Remoto	2019	29	1-5		
{1}			SILVA, B. P.; SANTOS, A. M. D.	APLICAÇÃO DE SENSORIAMENTO REMOTO PARA CARACTERIZAÇÃO DE ESTRADAS NÃO PAVIMENTADAS	XIX Simpósio Brasileiro de Sensoriamento Remoto	2019		5-1		
{21}			SILVA, L. A. L.; MOREIRA, S. J.; ZANG, J. W.; FONSECA, R. C. B.; DA FONSECA-ZANG, W. A.; PEREIRA, M. T.	AVALIAÇÃO DA POLUIÇÃO SONORA EM ZONA HOSPITALAR NA REGIÃO CENTRAL DE UMUARAMA- PARANÁ.	Congresso Internacional de Ciência, Tecnologia e Inovação, IV (ISSN 25255967)	2019	1	1-		
{18, 2}			VAZ, A. C. M.; ALVES, A. J.; OLIVEIRA, S. B.; PITALUGA, D. P. S.; SANTOS, M. S. C.; GUIMARAES, R. N.	Avaliação de Água de Reuso Para Utilização em Melhoria de Eficiência Energética em Painéis Fotovoltaicos	SGA ? 2019: Conferência Internacional ? Sustentabilidade na Gestão Ambiental. Inovação e desafios para os Países de Língua Oficial Portuguesa (SGA?19)	2019	1	407-413		
{18}			ALVES, A. C. F.; MURILO, D. V. T.; CARVALHO, M. F.; GIL, E. S.; DE OLIVEIRA, S. B.; SCALIZE, P. S.	ESTUDO ELETROQUÍMICO DA ADSORÇÃO DE BISFENOL A EM CARVÃO ATIVADO COMERCIAL	XXIII Congreso e la Sociedad Iberoamericana de Electroquímica	2018		-		
{1}			DOS SANTOS, A. M.; PEREIRA, W. A.	O DESMATAMENTO NO ENTORNO E NAS ÁREAS DAS TERRAS INDÍGENAS DO ESTADO DE RONDÔNIA, BRASIL	X Seminário Temático da Rede Internacional CASLA-CEPIAL	2018	10	1-12		
{18}			PACHECO, R. V.; BRUM, S. S.; DE OLIVEIRA, S. B.; OJALA, S.; C, H. A.	UMA NOVA ABORDAGEM PARA A OBTENÇÃO DE CARBONO ATIVADO MESOPOROSO ATRAVÉS DE CARBONIZAÇÃO HIDROTERMAL DE BIOMASSA DO CERRADO COMBINADA COM ATIVAÇÃO FÍSICA PARA REMOÇÃO DE BISFENOL	12 Encontro Nacional sobre Adsorção	2018		-		
