ID_MEMBRO	RELEVANTE	DOI	AUTORES	TITULO	NOME EVENTO	ANO	VOLUME	NUMERO	PAGINAS	ITEM
{15}			DE OLIVEIRA, L.; NASCIMENTO, E. O.; ANTONIO, P. L.; CALDAS, L. V. E.; ANDREETA, M. R.	Characterization of lithium diborate, sodium diborate and commercial glass exposed to gamma radiation via linearity analyses	IRRMA X - 10th International Topical Meeting on Industrial Radiation and Radioisotope Measurements Applications,	2017	1		57-		
{7}			SA, F. P.; BORGES, E. C. L.; GARCIA, R. M.	Photodegradation of Food Dye, Red 40, Using Ultraviolet Radiation	10th World Congress of Chemical Engineering	2017			-		
{8}			CLARIANO, M. C. N.; BORGES, A. S.; LUZ, L. F.; NAVES, R. F.; SCHIMIDT, F.	Column Chromatography using vegetable fibers	39a. Reuniao Anual da Sociedade Brasileira de Quimica	2016	unico		-		
{22}			KLAFKE, M.; CORREA, P. F. L.; SANTANA, M. L.; CARNEIRO, M. A. D.; CALIXTO, W. P.; DINIZ, D. S.	Association between response times and functional systems in multiple sclerosis	Congresso Brasileiro de Esclerose Múltipla e Neuromielite óptica	2016			-		
{8}			LOPES, J. C. A.; SCHIMIDT, F.	Determinação do Oxigênio Dissolvido em Água de rio por meio de Redes Neurais Artificiais e Simulação de Monte Carlo	18º. Encontro Nacional de Química Analitica	2016	unico		-		
{15}			MARQUES, E. M.; MOREIRA, S. J.; COSTA, J. J.; OLIVEIRA, L. N.	Avaliação dos Níveis de Pressão Sonora Equivalente no  Parque Vaca Brava, Goiânia-GO, Brasil	Semana de Física da UFG	2016			1-		
{15}			MOREIRA, S. J.; COSTA, J. J.; OLIVEIRA, L. N.	Avaliação dos Níveis de Pressão Sonora em Ambiente Educacional na Zona Central de Goiânia	Semana de Física UFG	2016			1-		
{18}			PACHECO, R. V.; OLIVEIRA, S. B.; BARBOSA, D. P.; BOTTLINGER, M.; BROCKEL, U.	Hydrothermal Carbonization (HTC): Sustainable Thermochemical Conversion of Waste Ion Exchange Resin to Polymeric Carbon Activated.	Environment 2016: Eco-processes, remediation and/or recovery of waste and effluents for a sustainable environment	2016			-		
{15}			SANTOS, D. A. M. D.; OLIVEIRA, F. L.; NASCIMENTO, E. O.; OLIVEIRA, L. N.	Determinação dos níveis de pressão sonora (NPS) através de equipamento mobile e simulação computacional	Semana da Física UFG	2016			1-		
{21}			SANTOS, L. F.; ZANG, J. W.; DA FONSECA-ZANG, W. A.; NASCIMENTO, A. M. B.; DE FREITAS, R. A.; LEANDRO, W. M.	Mitigation of emissions from sugar cane crop by anaerobic digestion of sugarcane wastes.	2.SIGEE, jun., Campo Grande	2016	1	1	1-1		
{21}			COLLIER, L. S.; ZANG, J. W.; DA FONSECA-ZANG, W. A.; LEANDRO, W. M.	HOW BRAZILIAN CERRADO TREE SEEDLINGS GROW AFTER AMENDED WITH ANAEROBIC FERMENTED SUGAR CANE WASTES	'EACS 2015 - Encontro Anual das Ciências do Solo'	2015			-		
{21}			MUNIZ, M. P.; ZANG, J. W.; DA FONSECA-ZANG, W. A.; SCHUCH, A.; EICHLER-LOEBERMANN, B.; LEANDRO, W. M.	Soybean Growth Affected by the Application of Biodigestates from Sugar Cane Vinasse	Tropentag 2015	2015			-		
{8, 14}			SILVA, S. R. E.; DOMINGOS, J. L.; SCHIMIDT, F.	Modelagem de Oxigênio Dissolvido no Rio Paraíba do Sul utilizando Redes Neurais Artificiais	2a. Escola de Inverno de Quimiometria	2015			-		
{8}			VIEIRA, S. L.; OLIVEIRA, L. N.; SCHIMIDT, F.; ANTONIO, P. L.; CALDAS, L. V. E.	Assessment of polybutadiene and polystyrene rubbers for medical-industrial high-dose radiation - Preliminary study	XXXVIII Encontro nacional de Fisica da Materia Condensada	2015			ID 230-1-06.4/06.9		
{15}			VIEIRA, S. L.; OLIVEIRA, L. N.; SCHIMIDT, F.; ANTONIO, P. L.; CALDAS, L. V. E.	Assessment of polybutadiene and polystyrene rubbers for medical-industrial high-dose radiation dosimetry - Preliminary study	XXXVIII Encontro Nacional de Física da Matéria Condensada	2015			-		
{21}			ZANG, J. W.; DA FONSECA-ZANG, W. A.; LEANDRO, W. M.; JABLONOWSKI, N. D.; COLLIER, L.; SCHUCH, A.; DE OLIVEIRA, S. B.; JR, A. F. L.; MUNIZ, M. P.	Plant Phenotyping Tests Using Anaerobic Digested Vinasse and Filter Cake from the Brazilian Sugar Cane Industry	Tropentag 2015	2015			-		
{18, 21}			DE FREITAS, R. A.; JR, A. F. L.; ZANG, J. W.; FONSECA-ZANG, W. A.; DE OLIVEIRA, S. B.; LEANDRO, W. M.; TEIXEIRA, L. S. M.	Biomethane recovery from Brazilian ethanol-production residues	9th International Symposium AgroEnviron	2014	1		24-25		
{18, 21}			MENEZES, M. P.; ZANG, J. W.; DA CUNHA, C. E.; FONSECA-ZANG, W. A.; SACK, S.; DE OLIVEIRA, S. B.; LEANDRO, W. M.; TEIXEIRA, L. S.	Hydrothermal biochar as soil conditioner in the ecological agriculture:  waste recovery from the Brazilian ethanol industry	9th International Symposium AgroEnviron	2014	1	1	1-10		
{21}			OLIVEIRA, C. B. A.; FONSECA-ZANG, W. A.; DE ALMEIDA, S.; ZANG, J. W.; MENEZES, M. P.; TEIXEIRA, L. S. M.; LEANDRO, W. M.	Methodology for mercury determination in biofertilizers by acid digestion under different conditions and cold vapor atomic absorption spectrophotometry	9th International Symposium AgroEnviron	2014			-		
{21}			FONSECA, R. C. B.; FONSECA-ZANG, W. A.; ZANG, J. W.; FIGUEIREDO, A.; CASTRO, M. T.	Time Homogeneous Ornstein-Uhlenbeck model behavior using empirical sustainable data.	Águas de Lindóia, S.P.: XXXVI Encontro Nacional de Física da Matéria Condensada/ID:716-1, 2013	2013	1	1	1-2		
{21}			OLIVEIRA, C. B. A.; DE ALMEIDA, S.; FONSECA-ZANG, W. A.; ZANG, J. W.; TEIXEIRA, L. S.	Desenvolvimento de metodologias para determinar contaminantes em insumos agrícolas orgânicos. ABQ Química, 2013	ABQ Química, 2013	2013	1	1	1-1		
{8}			PEREIRA, C. M.; SCHIMIDT, F.	Análise de Chocolate por Espectroscopia FTIR e PCA	1ª Escola de Inverno de Quimiometria	2013	unico		36-		
{18}			OLIVEIRA, S. B.; BARBOSA, D. P.; RANGEL, M.; EPRON, F.	Preparação de catalisadores bimetálicos de Pd-Sn suportados em compósitos polipirrol/Al2O3 para redução catalítica de nitrato em água	52 Congresso Brasileiro de Química	2012			-		
{12}			ZANG, J. W.; FONSECA-ZANG, W.; DE OLIVEIRA, S. B.; LEANDRO, W. M.; BORGES, A.; KIRCHER, M.; STEINER, J.; LINDORFER, H.	Biomethane produced from Vinasse of Sugar Cane based Ethanolproduction in Brazil	3rd Clib International Conference	2012	3		12-12		
